,AUS,Australian Capital Territory,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,last_updated
date,AUS,ACT,NSW,Armidale Dumaresq Council,Ballina Shire Council,Bankstown City Council,Bathurst Regional Council,Bayside Council,Bega Valley Shire Council,Bellingen Shire Council,Blue Mountains City Council,Broken Hill City Council,Burwood Council,Byron Shire Council,Cabonne Shire Council,Camden Council,Campbelltown City Council,Canterbury City Council,Cessnock City Council,City of Albury,City of Blacktown,City of Canada Bay Council,City of Lake Macquarie,City of Liverpool,City of Parramatta Council,City of Ryde,City of Shoalhaven,City of Willoughby,Clarence Valley Council,Coffs Harbour City Council,Cooma-Monaro Council,Corowa Shire Council,Council of the City of Sydney,Cowra Shire Council,Cumberland Council,Dubbo City Council,Eurobodalla Shire Council,Fairfield City Council,Goulburn Mulwaree Council,Griffith City Council,Gunnedah Shire Council,Hawkesbury City Council,Hurstville City Council,Inner West Council,Inverell Shire Council,Kempsey Shire Council,Kogarah City Council,Ku-ring-gai Council,Lane Cove Municipal Council,Leeton Shire Council,Lismore City Council,Lithgow City Council,Maitland City Council,Mid-Western Regional Council,MidCoast Council,Mosman Municipal Council,Muswellbrook Shire Council,Nambucca Shire Council,Newcastle City Council,North Sydney Council,Northern Beaches Council,Orange City Council,Palerang Council,Parkes Shire Council,Penrith City Council,Port Macquarie-Hastings Council,Port Stephens Council,Queanbeyan City Council,Randwick City Council,Richmond Valley Council,Shellharbour City Council,Singleton Shire Council,Strathfield Municipal Council,Sutherland Shire,Tamworth Regional Council,The Council of the Municipality of Hunters Hill,The Council of the Municipality of Kiama,The Council of the Shire of Hornsby,The Hills Shire,Tumut Council,Tweed Shire Council,Wagga Wagga City Council,Waverley Council,Wingecarribee Shire Council,Wollondilly Shire Council,Wollongong City Council,Woollahra Municipal Council,Wyong Shire Council,Yass Valley Council,Young Shire Council,NT,Alice Springs Municipality,Darwin Municipality,Katherine Municipality,Litchfield Municipality,Palmerston Municipality,QLD,Banana Shire,Brisbane City,Bundaberg Regional,Burdekin Shire,Cairns Regional,Cassowary Coast Regional,Central Highlands Regional,City of Gold Coast,City of Ipswich,Douglas Shire,Fraser Coast Regional,Gladstone Regional,Gympie Regional,Isaac Regional,Livingstone Shire,Lockyer Valley Regional,Logan City,Mackay Regional,Maranoa Regional,Mareeba Shire,Moreton Bay Region,Mount Isa City,Noosa Shire,Redland City,Rockhampton Regional,Scenic Rim Regional,Somerset Regional,South Burnett Regional,Southern Downs Regional,Sunshine Coast Regional,Tablelands Regional,Toowoomba Regional,Townsville City,Western Downs Regional,Whitsunday Regional,SA,Adelaide City Council,Adelaide Hills Council,Alexandrina Council,Campbelltown City Council,City of Burnside,City of Charles Sturt,City of Holdfast Bay,City of Marion,City of Mitcham,City of Mount Gambier,City of Onkaparinga,City of Playford,City of Port Adelaide Enfield,City of Port Lincoln,City of Prospect,City of Salisbury,City of Tea Tree Gully,City of Unley,City of Victor Harbor,City of West Torrens,District Council of Loxton Waikerie,District Council of Mallala,District Council of Mount Barker,District Council of the Copper Coast,Light Regional Council,Port Augusta City Council,Port Pirie Regional Council,Renmark Paringa Council,The Barossa Council,The Berri Barmera Council,The City of Norwood Payneham and St Peters,The Corporation of the City of Whyalla,The Rural City of Murray Bridge,Town of Gawler,TAS,Break O'Day Council,Brighton Council,Burnie City Council,Central Coast Council,Clarence City Council,Derwent Valley Council,Devonport City Council,Glamorgan-Spring Bay Council,Glenorchy City Council,Hobart City Council,Huon Valley Council,Kingborough Council,Latrobe Council,Launceston City Council,Meander Valley Council,Northern Midlands Council,Sorell Council,Waratah-Wynyard Council,West Tamar Council,VIC,Alpine Shire,Ballarat City,Banyule City,Bass Coast Shire,Baw Baw Shire,Bayside City,Benalla Rural City,Boroondara City,Brimbank City,Campaspe Shire,Cardinia Shire,Central Goldfields Shire,City of Casey,City of Hume,City of Knox,City of Maribyrnong,City of Wyndham,City of Yarra,Colac Otway Shire,Corangamite Shire,Darebin City,East Gippsland Shire,Frankston City,Glen Eira City,Glenelg Shire,Golden Plains Shire,Greater Bendigo City,Greater Dandenong City,Greater Geelong City,Greater Shepparton City,Hepburn Shire,Hobsons Bay City,Horsham Rural City,Indigo Shire,Kingston City,Latrobe City,Macedon Ranges Shire,Manningham City,Maroondah City,Melbourne City,Melton City,Mildura Rural City,Mitchell Shire,Moira Shire,Monash City,Moonee Valley City,Moorabool Shire,Moreland City,Mount Alexander Shire,Moyne Shire,Murrindindi Shire,Nillumbik Shire,Northern Grampians Shire,Port Phillip City,Shire of Mornington Peninsula,South Gippsland Shire,Southern Grampians Shire,Stonnington City,Surf Coast Shire,Swan Hill Rural City,Wangaratta Rural City,Warrnambool City,Wellington Shire,Whitehorse City,Whittlesea City,Wodonga City,Yarra Ranges Shire,WA,City of Albany,City of Armadale,City of Bayswater,City of Belmont,City of Bunbury,City of Busselton,City of Canning,City of Cockburn,City of Fremantle,City of Gosnells,City of Greater Geraldton,City of Joondalup,City of Kalamunda,City of Kalgoorlie-Boulder,City of Karratha,City of Kwinana,City of Mandurah,City of Melville,City of Nedlands,City of Perth,City of Rockingham,City of South Perth,City of Stirling,City of Subiaco,City of Swan,City of Vincent,City of Wanneroo,Shire of Ashburton,Shire of Augusta-Margaret River,Shire of Broome,Shire of Capel,Shire of Dardanup,Shire of East Pilbara,Shire of Esperance,Shire of Harvey,Shire of Mundaring,Shire of Murray,Shire of Northam,Shire of Serpentine-Jarrahdale,Town of Bassendean,Town of Cambridge,Town of Claremont,Town of Cottesloe,Town of Port Hedland,Town of Victoria Park,
2020-02-15,3,5,5,,-15,7,,-1,,,8,,2,-8,,19,-6,-5,2,10,3,-5,-1,-4,5,2,8,-3,2,-8,,,9,,7,-4,,4,-4,-2,,-7,-1,0,,,,19,5,,3,,12,,-7,,,,7,3,5,10,,,4,6,-13,-1,7,,-6,,-5,1,-5,,,0,12,,9,-29,3,,,11,7,-1,,,8,,15,,,,4,,6,2,,3,,,2,6,,2,-5,2,,,2,5,17,,,1,,-14,14,9,,,,-27,-5,,6,7,,1,2,5,,,6,-10,7,-6,21,10,-12,9,2,-8,,,0,5,,,17,,,-5,,,,,,,,12,,8,-14,-1,,,,,-5,,-4,,27,5,,,,1,,,,,,3,,8,6,-19,13,8,,6,8,3,0,,10,13,9,10,12,5,,,2,4,3,5,,,2,13,1,10,,3,,,28,8,-1,22,15,-1,22,12,25,,7,17,,2,,,,,,7,-6,,,14,-25,,-3,-19,-10,16,15,-9,12,3,7,-7,4,3,-8,-8,4,3,-1,6,-7,5,6,13,,6,14,18,,5,7,12,10,,11,14,-1,,,,,,,,,-6,,,,,,,,,12,05/08/2021 06:15:41 +1000
2020-02-16,5,19,6,,,7,,7,,,8,,10,-12,,26,3,3,6,13,17,1,9,6,13,8,3,0,5,0,,,13,,16,-8,,4,-4,,,1,9,5,,,,25,5,,6,,13,,-16,,,,9,5,12,9,,,11,9,-7,6,7,,-1,,9,4,2,,,13,29,,7,-23,1,,,18,,2,,,14,,17,,,,3,,5,1,,5,,,3,13,,6,-1,3,,,,8,30,,,4,,-13,15,12,,,,,-2,,15,9,,,2,12,,,14,-7,3,-2,14,3,,12,4,2,,,3,5,,,19,,,,,,,,,,,9,,20,,2,,,,,4,,,,25,8,,,,2,,,,,,4,,9,10,-22,11,15,,7,9,,1,,15,20,13,14,14,6,,,7,0,7,10,,,4,11,2,13,,7,,,29,16,-11,20,14,7,24,9,18,,7,24,,7,,,,,,11,1,,,15,-22,,,-27,-14,25,19,-1,13,4,,4,9,10,-1,-14,7,14,1,12,4,10,22,,,4,16,14,,5,19,,11,,18,6,10,,,,,,,,,,,,,,,,,,21,05/08/2021 06:15:41 +1000
2020-02-17,0,10,0,,-12,-1,,-7,,,7,,-8,-12,,16,-7,-6,5,11,2,-12,-1,-10,0,-8,3,2,0,-9,,,6,,3,-2,15,-1,2,-5,,-8,-5,-6,,,,12,-2,,11,,10,,-7,,,,5,5,11,5,,,1,7,-8,0,3,,-7,,-1,-3,-4,,,1,15,,8,-25,-5,,,12,12,-2,,,3,,16,,,,1,,4,6,,4,,,-1,2,,4,-4,-7,,,0,1,25,,,-3,,-11,16,8,,,,-31,-2,,7,2,,8,0,9,,,0,-5,3,-1,7,6,-13,9,3,-4,,1,3,6,,,15,,,,,,,1,,,,3,,20,2,0,,,,,-8,,0,,22,16,,,,4,,,,,,1,,1,-3,-23,2,3,,-1,1,-4,0,,3,11,0,-3,9,2,,,-4,0,-2,2,,,-1,6,-4,2,,3,,,11,2,-1,4,-1,9,14,3,12,,0,10,,0,,,,,,13,-6,,,5,-28,,,-23,-12,12,4,-10,2,0,15,7,3,0,-4,-19,1,7,2,15,-2,3,14,,,3,14,18,,5,6,,10,,8,4,-1,,,,,,,,,-3,,,,,,,,,14,05/08/2021 06:15:41 +1000
2020-02-18,-2,-1,-2,,-9,-1,-11,-8,,,2,,-1,-7,,5,-10,-9,3,10,5,-2,-1,-8,-1,-7,-6,-2,3,-11,,,4,,0,-12,7,-4,-20,-6,,-15,1,-4,,,,11,1,,5,,7,,-10,,,,7,0,7,1,,,-2,7,-13,0,-3,,-11,,-7,-3,5,,,-3,18,,3,-28,-7,-1,,5,5,-2,,,-4,,3,,,,1,,2,4,,2,-3,,-4,0,,0,-5,-2,,,5,0,10,,,2,,-18,7,8,,,15,-33,-5,,1,-1,,5,-1,7,,,2,-14,3,-8,2,6,-21,9,-10,-7,,-14,0,5,,-2,6,,,-29,,,,-19,,,,4,,14,-10,-2,,,,,-14,,1,,22,17,,5,,0,,,,,,-6,,1,-6,-25,-9,-7,,-7,-4,-1,-13,,-3,1,-7,-7,2,-8,,,-9,-4,-9,-6,,,0,-2,-8,2,,-1,-4,,7,3,-10,3,-8,-2,6,-5,5,,-5,-1,,-4,,,,-9,,-4,-8,,,-4,-24,,5,-17,-15,2,3,-12,-1,1,3,-7,2,-11,-12,-16,-4,5,6,9,-5,-1,17,6,,-17,10,11,,4,6,,3,,3,10,-3,,,,,,,,,,,,,,,,,,17,05/08/2021 06:15:41 +1000
2020-02-19,-1,9,-1,,-12,2,-12,-6,,,4,,0,-5,,8,-9,-4,2,5,3,3,4,-7,2,-3,-1,0,5,-10,,,3,,3,-10,10,-1,2,-6,,-18,-4,-3,,,,11,-3,,12,,11,,-7,,,,7,5,7,1,,,0,3,-12,1,1,,-10,,-2,1,-2,,,-1,5,,7,-24,-7,18,,8,10,-2,,,2,,14,,,,-1,,1,0,,2,,,-4,3,,4,-3,-2,,,-1,-1,23,,,-5,,-14,11,5,,,,-30,-4,,2,0,,0,0,7,,,5,-16,1,1,3,5,-16,6,-2,-5,-1,-4,6,2,,-5,4,,,-1,,,,-15,,,,10,,7,-7,-2,,-6,,,-9,,6,,22,8,,2,,-2,,,-2,,,-2,,4,-1,-20,1,2,,4,0,-2,-6,,6,7,-4,-1,5,4,,,-7,-4,1,3,,,-1,5,-6,3,,2,-1,,14,3,-8,10,0,4,14,-2,8,,0,7,,-1,,,,,,-9,-5,,,8,,,-2,-22,-16,10,7,-16,5,0,8,2,3,-5,-13,-16,-2,2,7,10,-6,5,4,10,,1,13,18,,5,8,,4,,4,9,2,,,,,,,,,-11,,,,,,,,,9,05/08/2021 06:15:41 +1000
2020-02-20,1,7,1,,-5,1,-9,-4,,,5,,0,-7,,13,-5,-3,1,8,4,0,-1,-2,7,-2,-1,7,2,-11,,,9,,9,-10,11,-2,3,-4,,-11,-3,0,,,,9,0,,7,-1,11,,-4,,,,13,-4,9,5,,,4,9,-6,0,4,,-8,,-1,1,4,,,2,9,,8,-24,-7,-12,,10,17,0,,,0,,9,,,,1,,3,2,,2,-4,,-2,2,,4,-9,14,,,3,3,20,,,1,,-12,16,3,,,,-35,-4,,4,1,,0,2,6,,,10,5,3,-6,18,4,-11,11,10,-4,,-7,6,4,,-5,8,,,,,,,-9,,,,2,,11,-3,0,,-5,6,,-5,,-5,,17,16,,,,1,,,,,,0,,5,-6,-21,0,0,,-1,-4,-11,-4,,5,6,-1,-1,7,2,,,-6,3,-3,-2,,,1,-2,-6,4,,1,0,,9,4,-6,2,-1,8,10,2,4,-8,-6,5,,2,,,,,,-1,-8,,,3,-34,,-2,-14,-9,6,7,-12,5,0,7,-5,2,1,-7,-15,0,4,2,8,-12,8,12,14,,-1,10,9,,-1,11,,8,,8,4,3,,,,,,,,,,,,,,,,,,9,05/08/2021 06:15:41 +1000
2020-02-21,4,6,2,,-9,0,6,-8,,,7,,-3,-8,,16,-10,-10,1,10,3,-2,-2,-4,1,-9,7,5,1,-14,,,7,,2,-7,19,0,-5,-16,,-9,3,-3,,,,17,4,,6,,8,,-5,,,,6,6,8,3,,,5,6,-16,-5,2,,-8,,5,1,1,,,-1,15,,6,-31,-1,25,,7,20,0,,,8,,17,,,,1,,4,4,,0,-1,,-1,2,,4,-1,4,,,3,3,19,,,-2,,-14,16,6,,,10,-26,-5,,6,5,,6,2,4,,,6,-11,5,-3,11,5,-8,8,2,3,,-8,0,7,0,-15,10,,,-12,,,,-10,,,,6,,17,-6,0,,,1,,-12,,-2,,27,18,,6,,1,,,-7,,,2,,5,-2,-24,-1,1,,5,4,-4,0,,5,13,2,-1,13,2,,,-3,8,2,1,,,0,3,-4,8,,5,10,,19,7,-4,5,1,13,17,4,12,-5,-3,11,,4,,,,-1,,4,-8,,,7,-22,,-4,-27,-10,8,12,-6,10,3,-4,-8,-2,-3,-7,-14,1,8,1,10,-10,7,31,13,,1,10,15,,10,9,,6,,8,4,0,,,,,,,,,-3,,,,,,,,,15,05/08/2021 06:15:41 +1000
2020-02-22,4,6,6,,-9,8,,-4,,,6,,3,-5,,17,-5,-3,-2,8,6,-8,-3,-3,6,6,15,1,8,-11,,,11,,9,-8,,5,-3,-6,,-9,2,1,,,,19,1,,8,,8,,-4,,,,8,6,3,9,,,7,12,-13,2,5,,-7,,-3,0,-3,,,7,16,,17,-27,0,,,10,10,2,,,8,,15,,,,3,,5,3,,3,,,3,5,,4,-2,3,,,5,5,17,,,2,,-14,15,11,,,,-28,-5,,6,4,,3,1,9,,,11,-13,4,-3,19,7,-19,9,-1,-7,,,-1,1,,,13,,,-7,,,,,,,,5,,12,-14,-1,,,,,-16,,-6,,26,4,,,,0,,,,,,4,,6,0,-20,0,6,,5,3,-4,-2,,6,12,5,4,12,12,,,-4,6,-1,7,,,-1,8,-2,7,,5,,,21,6,5,13,2,9,17,6,13,,5,14,,5,,,,,,10,-9,,,11,-19,,-6,-23,-6,15,11,-8,12,5,6,-5,5,7,-8,-9,8,5,6,11,-3,7,9,13,,4,11,18,,4,11,13,11,,13,12,0,,,,,,,,,1,,,,,,,,,14,05/08/2021 06:15:41 +1000
2020-02-23,4,19,6,,,4,,2,,,20,,16,16,,23,5,4,0,14,15,-2,8,3,10,9,4,1,5,-4,,,9,,17,-3,,4,-3,-5,,0,6,6,,,,22,4,,-2,,6,,-8,,,,12,3,10,9,,,10,12,-11,3,4,,-4,,6,4,-1,,,11,25,,6,-26,0,,,19,,4,,,9,,21,,,,2,,7,-1,,6,,,2,12,,7,-4,4,,,,8,29,,,3,,-19,13,14,,,,,0,,15,5,,,2,23,,,11,-12,3,15,14,2,,8,2,-1,,,0,1,,,16,,,,,,,,,,,7,,18,,1,,,,,-5,,,,21,13,,,,3,,,,,,4,,9,10,-14,7,19,,5,5,,0,,11,16,11,8,12,4,,,-1,7,8,8,,,5,6,1,10,,6,,,28,14,-10,20,7,7,22,7,7,,8,13,,4,,,,,,17,9,,,10,-6,,,-28,-13,23,13,-4,15,3,,1,9,3,-7,-16,7,10,4,15,-2,8,19,,,8,12,21,,6,14,,13,,17,9,8,,,,,,,,,,,,,,,,,,26,05/08/2021 06:15:41 +1000
