,AUS,Australian Capital Territory,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,last_updated
date,AUS,ACT,NSW,Armidale Dumaresq Council,Ballina Shire Council,Bankstown City Council,Bathurst Regional Council,Bayside Council,Bega Valley Shire Council,Bellingen Shire Council,Blue Mountains City Council,Broken Hill City Council,Burwood Council,Byron Shire Council,Cabonne Shire Council,Camden Council,Campbelltown City Council,Canterbury City Council,Cessnock City Council,City of Albury,City of Blacktown,City of Canada Bay Council,City of Lake Macquarie,City of Liverpool,City of Parramatta Council,City of Ryde,City of Shoalhaven,City of Willoughby,Clarence Valley Council,Coffs Harbour City Council,Cooma-Monaro Council,Corowa Shire Council,Council of the City of Sydney,Cowra Shire Council,Cumberland Council,Dubbo City Council,Eurobodalla Shire Council,Fairfield City Council,Goulburn Mulwaree Council,Griffith City Council,Gunnedah Shire Council,Hawkesbury City Council,Hurstville City Council,Inner West Council,Inverell Shire Council,Kempsey Shire Council,Kogarah City Council,Ku-ring-gai Council,Lane Cove Municipal Council,Leeton Shire Council,Lismore City Council,Lithgow City Council,Maitland City Council,Mid-Western Regional Council,MidCoast Council,Mosman Municipal Council,Muswellbrook Shire Council,Nambucca Shire Council,Newcastle City Council,North Sydney Council,Northern Beaches Council,Orange City Council,Palerang Council,Parkes Shire Council,Penrith City Council,Port Macquarie-Hastings Council,Port Stephens Council,Queanbeyan City Council,Randwick City Council,Richmond Valley Council,Shellharbour City Council,Singleton Shire Council,Strathfield Municipal Council,Sutherland Shire,Tamworth Regional Council,The Council of the Municipality of Hunters Hill,The Council of the Municipality of Kiama,The Council of the Shire of Hornsby,The Hills Shire,Tumut Council,Tweed Shire Council,Wagga Wagga City Council,Waverley Council,Wingecarribee Shire Council,Wollondilly Shire Council,Wollongong City Council,Woollahra Municipal Council,Wyong Shire Council,Yass Valley Council,Young Shire Council,NT,Alice Springs Municipality,Darwin Municipality,Katherine Municipality,Litchfield Municipality,Palmerston Municipality,QLD,Banana Shire,Brisbane City,Bundaberg Regional,Burdekin Shire,Cairns Regional,Cassowary Coast Regional,Central Highlands Regional,City of Gold Coast,City of Ipswich,Douglas Shire,Fraser Coast Regional,Gladstone Regional,Gympie Regional,Isaac Regional,Livingstone Shire,Lockyer Valley Regional,Logan City,Mackay Regional,Maranoa Regional,Mareeba Shire,Moreton Bay Region,Mount Isa City,Noosa Shire,Redland City,Rockhampton Regional,Scenic Rim Regional,Somerset Regional,South Burnett Regional,Southern Downs Regional,Sunshine Coast Regional,Tablelands Regional,Toowoomba Regional,Townsville City,Western Downs Regional,Whitsunday Regional,SA,Adelaide City Council,Adelaide Hills Council,Alexandrina Council,Campbelltown City Council,City of Burnside,City of Charles Sturt,City of Holdfast Bay,City of Marion,City of Mitcham,City of Mount Gambier,City of Onkaparinga,City of Playford,City of Port Adelaide Enfield,City of Port Lincoln,City of Prospect,City of Salisbury,City of Tea Tree Gully,City of Unley,City of Victor Harbor,City of West Torrens,District Council of Loxton Waikerie,District Council of Mallala,District Council of Mount Barker,District Council of the Copper Coast,Light Regional Council,Port Augusta City Council,Port Pirie Regional Council,Renmark Paringa Council,The Barossa Council,The Berri Barmera Council,The City of Norwood Payneham and St Peters,The Corporation of the City of Whyalla,The Rural City of Murray Bridge,Town of Gawler,TAS,Break O'Day Council,Brighton Council,Burnie City Council,Central Coast Council,Clarence City Council,Derwent Valley Council,Devonport City Council,Glamorgan-Spring Bay Council,Glenorchy City Council,Hobart City Council,Huon Valley Council,Kingborough Council,Latrobe Council,Launceston City Council,Meander Valley Council,Northern Midlands Council,Sorell Council,Waratah-Wynyard Council,West Tamar Council,VIC,Alpine Shire,Ballarat City,Banyule City,Bass Coast Shire,Baw Baw Shire,Bayside City,Benalla Rural City,Boroondara City,Brimbank City,Campaspe Shire,Cardinia Shire,Central Goldfields Shire,City of Casey,City of Hume,City of Knox,City of Maribyrnong,City of Wyndham,City of Yarra,Colac Otway Shire,Corangamite Shire,Darebin City,East Gippsland Shire,Frankston City,Glen Eira City,Glenelg Shire,Golden Plains Shire,Greater Bendigo City,Greater Dandenong City,Greater Geelong City,Greater Shepparton City,Hepburn Shire,Hobsons Bay City,Horsham Rural City,Indigo Shire,Kingston City,Latrobe City,Macedon Ranges Shire,Manningham City,Maroondah City,Melbourne City,Melton City,Mildura Rural City,Mitchell Shire,Moira Shire,Monash City,Moonee Valley City,Moorabool Shire,Moreland City,Mount Alexander Shire,Moyne Shire,Murrindindi Shire,Nillumbik Shire,Northern Grampians Shire,Port Phillip City,Shire of Mornington Peninsula,South Gippsland Shire,Southern Grampians Shire,Stonnington City,Surf Coast Shire,Swan Hill Rural City,Wangaratta Rural City,Warrnambool City,Wellington Shire,Whitehorse City,Whittlesea City,Wodonga City,Yarra Ranges Shire,WA,City of Albany,City of Armadale,City of Bayswater,City of Belmont,City of Bunbury,City of Busselton,City of Canning,City of Cockburn,City of Fremantle,City of Gosnells,City of Greater Geraldton,City of Joondalup,City of Kalamunda,City of Kalgoorlie-Boulder,City of Karratha,City of Kwinana,City of Mandurah,City of Melville,City of Nedlands,City of Perth,City of Rockingham,City of South Perth,City of Stirling,City of Subiaco,City of Swan,City of Vincent,City of Wanneroo,Shire of Ashburton,Shire of Augusta-Margaret River,Shire of Broome,Shire of Capel,Shire of Dardanup,Shire of East Pilbara,Shire of Esperance,Shire of Harvey,Shire of Mundaring,Shire of Murray,Shire of Northam,Shire of Serpentine-Jarrahdale,Town of Bassendean,Town of Cambridge,Town of Claremont,Town of Cottesloe,Town of Port Hedland,Town of Victoria Park,
2020-02-15,-2,28,1,,-17,81,76,-3,45,-19,78,,,0,,21,9,46,31,-1,38,60,-11,13,46,45,44,46,-24,-30,,,25,,25,,28,29,,,,5,36,28,,-29,54,49,,,6,,27,,-15,-2,,2,23,29,2,,,,7,-17,-5,,15,-33,-21,,49,2,0,,-9,30,25,,-24,15,13,,,-25,9,-9,,,10,,13,,,,-8,,7,-20,,7,-8,,-9,13,-13,-10,-16,-39,-12,-4,,-7,-12,,-14,-16,,-8,-16,,-21,-16,,11,-9,-11,10,-4,,-28,5,165,-21,-26,11,,2,-25,2,18,-12,3,20,-14,,,-4,161,,-49,-15,,,-19,-24,,,,,9,,27,,-28,,-14,-24,,,0,-10,,,-19,,-9,-7,-21,,-6,,,,,-9,-22,,29,-21,-48,,-47,,-7,-15,20,-6,,-21,-27,-22,-1,-28,-41,-6,-36,-23,20,-6,9,-15,,-5,-16,-48,3,-4,-48,,,-17,-18,-27,-17,1,-31,-22,8,2,-15,-7,19,-14,-31,,-55,-36,-12,-14,-40,-54,-4,,3,-46,,,-50,-8,6,-42,-14,-35,-1,-2,21,22,165,-9,-15,42,-14,-15,15,,-9,52,,-2,-4,-26,5,-4,7,-11,1,-5,,-1,-7,-3,1,-32,,,,16,-6,,4,-14,,,,-3,,-32,,14,05/08/2021 06:16:00 +1000
2020-02-16,9,34,13,,-25,31,51,12,18,-49,66,,,-18,,28,10,50,-3,,8,49,2,27,-26,21,-12,38,-30,-21,,,57,,14,,1,37,,,,-7,26,26,,-30,20,44,,,-6,,-8,,-33,33,,-28,12,10,-5,,,,13,-14,-24,,19,,-6,,84,21,-11,,7,45,86,,-29,8,27,,,13,12,-11,,,6,,13,,,,-9,,-3,-6,,-7,-11,,-17,16,-15,-12,-15,-10,-11,-17,,-1,-9,,-15,-19,,-5,-19,-13,-7,-9,,,-11,-15,2,-18,,-21,15,84,-3,-4,-1,34,16,-15,19,16,-20,10,49,-26,,,11,90,,-35,,,,,,,,,,,,,,,,-7,-27,,,-12,22,,,-18,,-2,-23,-11,,-6,,5,,,-16,2,,3,48,-31,-3,33,,33,24,,26,,-2,22,15,29,3,10,-14,-5,41,4,14,60,-33,,13,3,-7,,,16,,,-2,-27,40,24,32,-8,24,-4,,-27,22,36,2,24,,-38,,13,-12,0,-20,-36,,20,-27,,,-53,-5,49,12,,14,2,-12,16,14,20,-12,-25,27,-15,6,6,,-7,65,,-1,-17,-17,13,,17,-6,9,8,,25,9,-10,-2,-27,,,,15,-22,,27,,,,,-6,,-32,,23,05/08/2021 06:16:00 +1000
2020-02-17,-6,9,-17,,-23,0,-15,-10,10,-44,-10,,,-27,,-10,1,0,-46,,-7,-10,-36,1,-10,-17,-24,8,-31,-48,,,6,,-5,,0,14,,,,-18,4,-5,,-48,-3,3,,,-19,,-6,,-55,-16,,-45,-32,-6,-17,,,,-17,-46,-47,,-7,-35,-38,,5,-9,-34,,-40,-10,2,,-30,3,-20,-15,,-47,-12,-42,,,21,,41,,,,-14,,-5,-13,,-4,-18,,-19,9,-36,-18,-11,-16,2,-38,,-2,-11,,-15,-12,,-19,-22,,-11,,,,-11,-15,-7,-10,,-23,-3,24,3,-31,,,6,-5,15,-2,-12,5,18,-17,,,-12,4,,-43,,,,,,,,,,,,,,,,-17,-23,,,-7,-26,,,-21,,2,-33,-24,,7,,,,,-25,26,,23,20,-46,,66,,37,32,-29,27,,33,14,21,44,41,21,-33,-21,26,38,21,19,-26,,3,2,16,,,57,,,41,,,24,30,-1,38,-10,,-21,66,33,,33,,-42,,,-12,83,2,-38,,14,-31,,,-58,,26,6,,27,-7,-12,16,1,5,-20,-26,27,-13,-1,-9,,-18,,,-11,,-9,21,,-1,-12,1,-3,,1,-10,-7,-10,-21,,,,17,-30,,,,,,,-11,,-15,,13,05/08/2021 06:16:00 +1000
2020-02-18,-13,-11,-11,,-12,6,5,-16,50,,8,,,-10,,-4,3,6,-16,,-11,2,-13,7,1,6,-5,2,-21,-24,,,-1,,-7,,-10,8,,,,-9,13,2,,-36,2,0,,,-7,,0,,-39,-14,,-28,-8,-5,-20,,,,-13,-25,-25,,7,,-23,,2,-9,-1,,-36,7,-4,,-16,4,-13,,,-23,-16,-29,,,5,,6,,,,-1,,10,-22,,1,,,-9,17,-27,-19,-8,-9,0,,,10,-15,,-6,6,,-17,-10,,-4,,,,-2,-4,-3,-3,,1,-13,83,-4,-24,,,-31,-49,-13,-6,-37,-25,26,-28,,,-9,1,,-52,,,,,,,,,,,,,,,,-9,-17,,,-31,4,,,-13,,19,,3,,-1,,,,,,-27,,-11,-21,-62,,-46,,-22,-25,-30,-24,,-31,-18,-22,-9,-20,-36,-32,-30,-27,-4,-34,-18,-28,,0,-29,-45,,,-34,,,-39,,,-22,-11,-23,-14,-21,,,-14,-16,,-24,,-51,,-34,-16,-46,-47,-47,,-21,-52,,,-55,-18,-17,-39,,-34,-2,-13,11,10,8,-18,-25,15,-10,3,2,,-9,,,-4,,-11,21,,-5,3,-4,6,,2,12,-5,1,-21,,,,11,-26,,,,,,,-6,,-13,,21,05/08/2021 06:16:00 +1000
2020-02-19,-6,12,-2,,-16,10,-7,-2,12,-23,18,,,-20,,9,-4,4,-6,-9,-2,15,-15,6,4,18,-4,6,-22,-23,,,11,,0,,-4,3,,,,-11,20,0,,-34,5,8,,,-14,,5,,-37,10,,-29,5,5,5,,,,3,-26,-33,,17,,-21,-10,4,2,2,,-25,11,6,,-18,8,21,,,-4,8,-20,,,13,,23,,,,-6,,2,-12,,10,-10,,-16,10,-7,-19,-1,-7,-6,-23,,10,-3,,1,-11,,-14,-8,,-3,,,,-17,-6,-6,-5,,-5,2,81,7,-27,,,-2,-23,4,13,-6,-8,32,-15,,,-3,1,,-38,,,,,,,,,,,,15,,,,-17,-44,,,-25,-28,,,-42,,-13,,-22,,-23,,,,,,-17,,3,-9,-48,,-32,,-15,-14,,-11,,-7,-18,-17,0,3,-22,-9,-11,-26,-14,0,-9,-26,,5,-27,-14,-11,,-36,,,-27,,,-14,4,-19,-3,,,,4,-14,,-15,,-38,,-37,,-35,-35,-48,,-12,-39,,,-49,-20,-2,-34,,-35,-3,-7,6,-3,-5,-11,-23,9,-11,13,-7,,-4,27,,-5,,-9,12,,1,-5,-1,0,,-10,-7,-6,-3,-13,,,,7,,,,,,,,-16,,-4,,-4,05/08/2021 06:16:00 +1000
2020-02-20,5,16,4,,-12,30,,-2,27,,24,,,-2,,26,32,23,16,,25,42,-1,29,32,19,3,20,-16,-15,,,23,,16,,9,23,,,,,37,28,,-25,,29,,,-10,,28,,-22,-15,,-31,10,13,-10,,,,40,-13,-21,,8,,-23,,33,-1,31,,-7,31,43,,-6,35,1,,,-4,-11,-10,,,3,,-4,,,,2,,7,-2,,2,-10,,-5,11,27,-1,-12,-1,-10,,,15,-10,,4,12,,0,-6,,3,,,,-3,-1,0,-5,,-5,8,123,-4,-13,,,-13,-13,6,15,-4,-7,16,-13,,,-2,38,,-33,,,,,,,,,,,,1,,,,10,-11,,,-11,17,,,10,,37,,-12,,14,,,,,,-2,,6,14,-19,,-19,,22,14,-21,25,,28,21,1,29,13,4,-6,8,29,20,24,9,-5,,11,5,-14,,,-30,,,-17,,,20,12,-1,30,,,,41,34,,7,,-29,,,,-32,-37,-27,,-2,-45,,,-37,-11,22,-1,,-2,-4,-7,10,3,-8,-27,-22,8,-2,11,-2,,-7,27,,0,,2,7,,-8,7,0,4,,-11,-3,4,-7,-10,,,,2,,,,,,,,4,,,,6,05/08/2021 06:16:00 +1000
2020-02-21,-1,51,-2,,-29,7,11,-11,53,-20,23,,,-11,,26,19,22,-1,13,17,28,-8,15,36,18,-3,20,-18,-20,,,14,,22,,6,18,,,,-1,16,7,,-23,26,22,,,-13,,-2,,-27,-34,,-24,-4,1,-16,,,,24,-13,-19,,-26,-23,-29,-1,20,0,34,,-23,16,31,,-13,16,-34,,,-25,-16,-21,,,-5,,-11,,,,-5,,5,-23,,-11,-20,,-12,3,-25,-17,2,-31,-7,-11,,4,2,,-13,2,,-10,-5,,-20,-11,,,-14,-26,4,-5,,-19,9,226,8,-16,,,13,-6,17,37,-7,0,,-2,,,-2,7,,-45,,,,,,,,,,,,,,,,-3,-20,,,-11,-9,,,-12,,27,,-21,,31,,,,,-20,-4,,17,55,-39,,-15,,44,65,-5,41,,33,11,1,30,12,13,-19,-14,41,20,29,32,15,,6,13,8,,,-19,,,-7,,,27,22,8,42,5,,-11,62,39,,11,,-27,-10,7,-9,-19,-21,-3,,20,-39,,,-51,9,47,21,,-11,-4,3,10,1,8,-10,-3,20,-2,-9,10,,-5,8,,8,,-9,7,,-19,5,4,6,,-10,8,-2,8,-1,,,,10,-29,,,,,,,-1,,,,5,05/08/2021 06:16:00 +1000
2020-02-22,10,160,-6,,-25,51,,-13,24,-23,44,,,-17,,30,22,26,5,6,55,53,-16,45,3,49,43,30,-14,-38,,,34,,32,,16,51,,,,13,29,22,,-33,49,19,,,-8,,45,,-13,-35,,-29,19,12,-32,,,,28,-27,-11,,-5,-23,-24,,48,-3,25,,-15,22,42,,-14,15,-26,,,-34,-10,-20,,,12,,12,,,,-6,,17,-26,,-22,-25,,-9,28,-39,0,-15,-21,-19,-41,,21,-17,,-30,-10,,-9,-13,,1,-9,,16,-13,-28,24,-30,,-27,23,285,-4,-7,12,,33,28,2,20,-4,26,19,3,,,-12,21,,-32,6,,,-4,-12,,,,,-3,,31,,,,4,-21,,,-1,14,,,-9,,22,-16,2,,78,,,,,-13,23,,29,46,-27,16,26,,49,47,-14,146,,40,30,28,59,30,45,-1,-11,33,61,48,39,-14,,-9,15,-16,-2,,20,,,45,,20,35,37,18,59,23,3,1,71,66,,21,,-31,16,86,-7,71,-21,45,,56,-21,,,-39,21,50,21,,21,1,-6,34,28,27,44,-39,49,-8,-7,30,,-1,5,,3,-5,-8,16,,3,1,69,-6,,-1,-11,15,5,-13,,,,9,-19,,-4,-20,,,,0,,30,,9,05/08/2021 06:16:00 +1000
2020-02-23,9,61,7,,-26,32,62,3,32,-42,85,,,-26,,30,14,44,1,14,17,30,25,33,-33,23,20,36,-30,-25,,,6,,16,,38,42,,,,21,38,21,,-35,27,45,,,-7,,2,,-25,11,,-30,-3,17,-12,,,,22,-23,-19,,-2,,7,,58,1,0,,20,45,33,,-39,-1,4,,,15,-2,-11,,,1,,11,,,,-23,,-11,-42,,-28,-31,,-35,-10,-35,-24,-35,-23,-20,-57,,-16,-42,,-18,-28,,-12,-33,-36,-3,-18,,-29,-19,-29,25,-48,,-43,27,139,-11,20,-19,34,30,38,19,13,-21,33,2,-8,,,-7,2,,-14,,,,-15,,,,,,-19,,,,,,-9,-19,,,28,6,,,-17,,8,-24,0,,-13,,24,,,-11,19,,67,32,-1,,147,,20,17,-12,7,,2,6,-2,25,-2,17,-4,4,28,85,6,25,-12,,8,5,22,,,71,,,53,-4,20,34,15,12,11,-12,,8,12,38,9,29,,-28,,51,0,57,44,14,,15,38,,,-45,12,32,13,,11,-2,-18,7,5,13,3,-21,12,-8,15,9,,-12,5,,3,-13,-19,31,,-7,-3,2,6,,14,10,-12,6,-26,,,,2,-24,,21,,,,,-4,,-6,,24,05/08/2021 06:16:00 +1000
