,AUS,Australian Capital Territory,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,last_updated
date,AUS,ACT,NSW,Armidale Dumaresq Council,Ballina Shire Council,Bankstown City Council,Bathurst Regional Council,Bayside Council,Bega Valley Shire Council,Bellingen Shire Council,Blue Mountains City Council,Broken Hill City Council,Burwood Council,Byron Shire Council,Cabonne Shire Council,Camden Council,Campbelltown City Council,Canterbury City Council,Cessnock City Council,City of Albury,City of Blacktown,City of Canada Bay Council,City of Lake Macquarie,City of Liverpool,City of Parramatta Council,City of Ryde,City of Shoalhaven,City of Willoughby,Clarence Valley Council,Coffs Harbour City Council,Cooma-Monaro Council,Corowa Shire Council,Council of the City of Sydney,Cowra Shire Council,Cumberland Council,Dubbo City Council,Eurobodalla Shire Council,Fairfield City Council,Goulburn Mulwaree Council,Griffith City Council,Gunnedah Shire Council,Hawkesbury City Council,Hurstville City Council,Inner West Council,Inverell Shire Council,Kempsey Shire Council,Kogarah City Council,Ku-ring-gai Council,Lane Cove Municipal Council,Leeton Shire Council,Lismore City Council,Lithgow City Council,Maitland City Council,Mid-Western Regional Council,MidCoast Council,Mosman Municipal Council,Muswellbrook Shire Council,Nambucca Shire Council,Newcastle City Council,North Sydney Council,Northern Beaches Council,Orange City Council,Palerang Council,Parkes Shire Council,Penrith City Council,Port Macquarie-Hastings Council,Port Stephens Council,Queanbeyan City Council,Randwick City Council,Richmond Valley Council,Shellharbour City Council,Singleton Shire Council,Strathfield Municipal Council,Sutherland Shire,Tamworth Regional Council,The Council of the Municipality of Hunters Hill,The Council of the Municipality of Kiama,The Council of the Shire of Hornsby,The Hills Shire,Tumut Council,Tweed Shire Council,Wagga Wagga City Council,Waverley Council,Wingecarribee Shire Council,Wollondilly Shire Council,Wollongong City Council,Woollahra Municipal Council,Wyong Shire Council,Yass Valley Council,Young Shire Council,NT,Alice Springs Municipality,Darwin Municipality,Katherine Municipality,Litchfield Municipality,Palmerston Municipality,QLD,Banana Shire,Brisbane City,Bundaberg Regional,Burdekin Shire,Cairns Regional,Cassowary Coast Regional,Central Highlands Regional,City of Gold Coast,City of Ipswich,Douglas Shire,Fraser Coast Regional,Gladstone Regional,Gympie Regional,Isaac Regional,Livingstone Shire,Lockyer Valley Regional,Logan City,Mackay Regional,Maranoa Regional,Mareeba Shire,Moreton Bay Region,Mount Isa City,Noosa Shire,Redland City,Rockhampton Regional,Scenic Rim Regional,Somerset Regional,South Burnett Regional,Southern Downs Regional,Sunshine Coast Regional,Tablelands Regional,Toowoomba Regional,Townsville City,Western Downs Regional,Whitsunday Regional,SA,Adelaide City Council,Adelaide Hills Council,Alexandrina Council,Campbelltown City Council,City of Burnside,City of Charles Sturt,City of Holdfast Bay,City of Marion,City of Mitcham,City of Mount Gambier,City of Onkaparinga,City of Playford,City of Port Adelaide Enfield,City of Port Lincoln,City of Prospect,City of Salisbury,City of Tea Tree Gully,City of Unley,City of Victor Harbor,City of West Torrens,District Council of Loxton Waikerie,District Council of Mallala,District Council of Mount Barker,District Council of the Copper Coast,Light Regional Council,Port Augusta City Council,Port Pirie Regional Council,Renmark Paringa Council,The Barossa Council,The Berri Barmera Council,The City of Norwood Payneham and St Peters,The Corporation of the City of Whyalla,The Rural City of Murray Bridge,Town of Gawler,TAS,Break O'Day Council,Brighton Council,Burnie City Council,Central Coast Council,Clarence City Council,Derwent Valley Council,Devonport City Council,Glamorgan-Spring Bay Council,Glenorchy City Council,Hobart City Council,Huon Valley Council,Kingborough Council,Latrobe Council,Launceston City Council,Meander Valley Council,Northern Midlands Council,Sorell Council,Waratah-Wynyard Council,West Tamar Council,VIC,Alpine Shire,Ballarat City,Banyule City,Bass Coast Shire,Baw Baw Shire,Bayside City,Benalla Rural City,Boroondara City,Brimbank City,Campaspe Shire,Cardinia Shire,Central Goldfields Shire,City of Casey,City of Hume,City of Knox,City of Maribyrnong,City of Wyndham,City of Yarra,Colac Otway Shire,Corangamite Shire,Darebin City,East Gippsland Shire,Frankston City,Glen Eira City,Glenelg Shire,Golden Plains Shire,Greater Bendigo City,Greater Dandenong City,Greater Geelong City,Greater Shepparton City,Hepburn Shire,Hobsons Bay City,Horsham Rural City,Indigo Shire,Kingston City,Latrobe City,Macedon Ranges Shire,Manningham City,Maroondah City,Melbourne City,Melton City,Mildura Rural City,Mitchell Shire,Moira Shire,Monash City,Moonee Valley City,Moorabool Shire,Moreland City,Mount Alexander Shire,Moyne Shire,Murrindindi Shire,Nillumbik Shire,Northern Grampians Shire,Port Phillip City,Shire of Mornington Peninsula,South Gippsland Shire,Southern Grampians Shire,Stonnington City,Surf Coast Shire,Swan Hill Rural City,Wangaratta Rural City,Warrnambool City,Wellington Shire,Whitehorse City,Whittlesea City,Wodonga City,Yarra Ranges Shire,WA,City of Albany,City of Armadale,City of Bayswater,City of Belmont,City of Bunbury,City of Busselton,City of Canning,City of Cockburn,City of Fremantle,City of Gosnells,City of Greater Geraldton,City of Joondalup,City of Kalamunda,City of Kalgoorlie-Boulder,City of Karratha,City of Kwinana,City of Mandurah,City of Melville,City of Nedlands,City of Perth,City of Rockingham,City of South Perth,City of Stirling,City of Subiaco,City of Swan,City of Vincent,City of Wanneroo,Shire of Ashburton,Shire of Augusta-Margaret River,Shire of Broome,Shire of Capel,Shire of Dardanup,Shire of East Pilbara,Shire of Esperance,Shire of Harvey,Shire of Mundaring,Shire of Murray,Shire of Northam,Shire of Serpentine-Jarrahdale,Town of Bassendean,Town of Cambridge,Town of Claremont,Town of Cottesloe,Town of Port Hedland,Town of Victoria Park,
2020-02-15,4,7,4,7,-5,9,9,4,21,,14,,-2,-9,,5,3,7,41,-1,-1,1,-4,10,25,2,4,5,-10,-12,,,6,,7,4,14,6,6,6,,8,0,9,,-15,10,15,12,,3,17,-1,0,-21,14,,,1,13,1,6,,,4,-6,-13,2,5,,-2,-6,4,3,-3,,-7,14,18,,-5,10,3,17,7,-1,9,1,,,7,10,4,,,3,3,,4,0,,0,,,-1,5,,-1,-5,-5,,4,-3,3,5,,,4,2,-8,0,6,-7,,-5,1,0,4,3,4,,-14,6,32,3,-11,8,9,-5,-12,2,8,-2,0,3,1,,8,4,4,38,-19,3,,,3,,,,,2,6,,11,,-15,1,2,,,-3,,6,,1,,2,6,,-3,,4,6,,,,,3,,8,13,-23,7,4,,7,7,16,9,,6,6,4,5,7,5,-4,,9,8,9,2,,,4,6,-1,14,2,2,-1,,9,7,3,11,8,1,7,7,18,,8,10,-2,1,10,,,0,,-5,-18,2,,11,-22,14,5,-10,4,7,11,3,5,7,3,5,5,10,2,-5,1,-3,-4,5,4,5,10,10,19,5,-1,6,30,23,2,5,1,13,4,45,0,,0,,,6,,,-3,5,-12,,,,6,4,,,67,05/08/2021 06:15:19 +1000
2020-02-16,3,8,5,,-10,6,3,6,10,,19,,-7,-10,,6,4,10,4,-2,2,3,-4,9,36,0,2,0,-14,-9,,,2,,7,-3,5,3,6,1,,6,-4,8,,,5,17,13,,2,,-3,6,-19,5,,,-2,12,2,-3,,,4,-11,-8,9,3,,-3,-3,5,1,-10,,-5,10,14,,-8,5,2,13,,-4,10,-2,,,4,7,3,,,-2,2,,4,0,,-3,,,-5,4,-12,-3,1,-7,,-4,,3,3,,,5,,-8,-3,7,-3,,,,-4,-7,2,0,,-12,1,-1,2,-2,,8,-3,3,2,6,-5,2,5,4,,10,4,2,26,-26,5,,,1,,,,,,1,,3,,-2,-1,1,,,,,7,,4,,3,-1,,2,,-5,,,,,,3,,6,12,-23,48,9,,12,4,6,10,,6,9,2,12,5,2,-15,,9,6,3,6,,,1,6,-1,9,17,7,,,2,2,7,5,3,3,10,1,16,,5,7,6,6,,,,8,,6,-11,-11,,3,-14,,-6,-15,-5,2,11,15,9,5,-10,11,2,10,4,-10,4,6,0,7,5,2,10,11,10,7,-2,5,,13,5,3,0,6,6,9,6,,,,,,,,0,9,,,,,-1,,,,8,05/08/2021 06:15:19 +1000
2020-02-17,-1,-1,-2,0,-9,-2,-9,-4,4,,-3,,-12,-12,,-4,-4,-5,-10,-8,-8,-10,-9,0,12,-7,-10,-3,-11,-18,,,-1,,-4,-3,1,-4,-1,-8,,-4,-12,-3,,-20,-12,5,3,,-3,8,-9,-12,-13,-8,,,-6,6,-10,-5,,,-4,-8,-16,-2,8,,-8,,-1,-7,-13,,-22,-1,0,,-7,-2,-10,2,,-9,-1,-9,,,3,1,2,,,-1,-2,,-1,-6,,-2,,,-7,-6,,-7,-4,-6,,-6,,-1,-5,,,-3,4,-8,-6,-5,-4,,-5,6,-6,-2,0,-4,,-12,-1,5,7,,3,4,-3,-11,-5,-6,-9,-2,1,0,,3,4,-3,5,-24,-9,,,-8,,,,,,3,,-1,,-7,1,-3,,,2,,-2,,-9,,-6,2,,-5,,-4,-6,,,,,-1,,0,3,-24,3,5,,4,1,-2,3,,-2,1,-3,-12,0,-1,-30,,-1,1,-8,2,,,1,-2,-5,4,,4,,,-7,-1,6,-2,-6,3,0,-3,0,,-1,-2,-8,0,,,,3,,11,-20,-18,,-9,-29,,-10,-14,-2,-6,-1,3,1,-1,0,3,-5,0,-3,-13,-4,-2,-8,2,-5,-3,-1,2,21,7,-3,1,21,-1,-1,8,-4,10,-4,0,1,,,,,,,,3,14,,,,,5,,,,8,05/08/2021 06:15:19 +1000
2020-02-18,-3,-2,-3,4,-7,0,-5,-2,17,,-1,,-11,-7,,-5,-5,-3,-1,-11,-7,-10,-8,2,10,-4,-15,-5,-11,-11,,,3,,-3,-1,-7,-4,-8,-5,,0,-12,0,,-19,-3,5,-1,,-3,-4,-9,-6,-17,-14,,,-3,8,-6,-3,,,-4,-12,-10,0,8,,-7,0,-2,-8,-10,,-27,2,4,,-7,-3,-6,6,5,-7,5,-5,,,0,7,-5,,,-2,-2,,-1,-4,,-5,,,-8,-4,,-7,-6,-5,0,-5,3,-2,-4,,,-5,-4,-5,-6,-2,-2,,-4,6,-2,-7,-5,-4,2,-2,-2,12,-7,,-1,5,-7,-14,-10,-4,-6,-5,2,-5,,1,-1,-5,-2,,-2,,,-4,,,,,,0,,-2,,-12,-4,-3,,,-7,,1,,-8,,-8,0,,-10,,-6,0,,,,,-6,,-6,0,-29,-3,-12,,-1,-6,-5,-3,,-8,-5,-8,-12,-5,-4,-25,,-4,-3,-11,-8,,,-6,-7,-9,1,,-6,,,-12,-5,-2,-3,-13,0,-4,-10,0,,-7,-8,-9,-5,,,,-5,,-10,-19,-17,,-10,-28,-5,-11,-12,-7,-9,-3,0,-7,-1,-6,2,0,-2,-6,-14,-6,-4,1,0,-3,-7,2,6,11,9,-7,-1,29,-1,-3,10,-2,5,-5,4,0,,-14,,,,,-15,,13,,,,,2,13,,,10,05/08/2021 06:15:19 +1000
2020-02-19,-1,2,-2,5,-7,0,-5,-4,8,,5,,-13,-8,,-4,-3,3,-6,-8,-7,-10,-6,2,1,-1,-9,-4,-10,-9,,,2,,-2,1,-4,-2,-5,0,,6,-6,-1,,-17,5,4,0,,0,9,-6,0,-15,-6,,,-2,9,-3,-4,,,-2,-11,-8,1,11,,-6,2,-2,-6,-7,,-17,5,7,,-7,-3,-5,-4,3,-4,8,-4,,,6,4,3,,,1,-3,,-2,-6,,-1,,,-8,-4,,-1,-2,-3,0,-1,1,-2,-1,,,-5,1,-7,-8,-4,-3,,-3,8,-5,-9,-3,-2,-1,-6,0,9,-5,,-4,8,-2,-4,-4,0,-5,0,0,0,,3,1,-3,0,-20,-1,,,-1,,,,,,-2,,2,,-11,1,-3,,,-8,,-4,,-5,,-1,2,,-10,,-7,-8,,,,,-2,,-2,0,-21,-1,-6,,3,-2,-7,2,,-3,0,-3,-2,0,3,-16,,0,-1,-3,-3,-12,,-1,0,-2,2,,-1,0,,-3,0,3,2,-4,8,0,-6,-3,,-2,-3,0,-6,,,,-5,,-7,-15,-11,,0,-22,,-3,-8,-4,-1,-2,-3,-5,-1,-4,2,-4,0,-5,-17,-5,-5,2,2,-6,-5,3,-1,17,5,-7,2,11,1,-1,10,-3,7,-3,-1,0,,,,,,,,,6,,,,,1,23,,,8,05/08/2021 06:15:19 +1000
2020-02-20,0,8,2,7,-8,2,-3,0,4,,2,0,-10,-5,,0,1,1,5,-6,-3,-4,-5,5,5,-5,-5,-5,-9,-9,,,7,,3,-2,-2,3,-2,0,,3,-8,4,,-5,,8,5,,0,7,-3,-2,-9,2,,,-1,15,-1,1,,,2,-6,-6,4,10,,-3,2,0,-4,-4,,-16,5,8,,-7,3,-1,2,5,0,11,-3,,,4,5,-2,,,-3,-1,,1,-6,,-3,,2,-7,-3,,-4,-3,-3,6,-5,8,1,-4,,,-2,-1,-10,-7,-4,0,,0,5,-5,-1,0,1,5,-8,4,25,5,,2,11,-2,-5,-3,-1,-2,-1,3,0,,6,4,3,3,,2,,,-3,,,,,-10,3,,-5,,-8,-2,1,,,5,,-3,,-9,,-4,8,,-6,,-2,5,,,,,-1,,-2,2,-18,-2,-1,,3,-2,-8,5,,-4,-1,-3,-9,1,5,-22,,1,3,-5,1,,,0,-2,-6,3,,1,,,-7,2,5,0,-5,12,0,-2,-1,,-3,1,9,1,,,,2,,-9,-11,-14,,-6,-24,,0,-14,-4,-5,0,0,-3,0,-7,3,-4,0,0,-12,-4,0,0,2,-2,-2,-2,2,8,12,-4,-1,17,-2,0,4,-2,2,-3,7,0,,,-4,,,,-9,-6,4,,,,,9,14,,,5,05/08/2021 06:15:19 +1000
2020-02-21,3,9,1,3,-12,1,3,1,5,,6,7,-9,-2,,2,0,0,4,-5,-5,-4,-5,8,11,-3,3,0,-7,-10,,,10,,3,-2,11,5,0,0,,6,-8,1,,-22,8,14,11,,3,12,-3,4,-12,4,,,3,16,-3,2,,,3,-8,-9,4,9,,-8,-5,2,-2,-1,,-5,3,11,,-1,8,-3,-2,,-6,7,-6,,,7,14,0,,,4,-1,,1,-6,,-3,,,-7,-2,,-7,3,-8,3,-3,-1,2,0,,,-1,3,-10,-5,-1,-1,,-4,7,-5,-5,4,4,6,-8,5,23,15,-14,5,17,1,-8,-4,-2,-2,0,1,4,,6,4,-1,10,-20,-4,,,-4,,,,,-6,-2,-2,4,,-11,4,1,,,-4,-3,2,,-4,,-4,9,,-8,,1,11,,,,,8,,2,9,-20,21,1,,9,8,-4,14,,5,8,2,-1,6,11,-16,,7,21,-1,6,-10,,4,2,-4,12,,4,5,,1,7,16,2,3,10,2,0,11,,3,13,7,10,,,,4,,0,-15,-10,,2,-24,-1,4,-19,2,2,6,5,1,2,-6,2,-4,2,-2,-7,-4,0,-2,4,-3,-4,6,8,12,12,-6,4,33,7,2,5,-2,12,-1,6,1,,-11,,,4,,-16,-7,10,-9,,,,14,,,,14,05/08/2021 06:15:19 +1000
2020-02-22,5,21,4,14,-6,11,8,4,20,,17,,0,-4,,5,4,10,14,1,-3,3,-4,9,-3,4,12,8,-7,-11,,,7,,10,-2,20,7,3,4,,9,5,13,,-14,9,14,6,,6,14,0,3,-19,7,,,9,13,-3,5,,,8,-2,-9,10,4,,-3,-3,7,3,0,,-3,14,18,,3,6,-5,16,9,-1,6,3,,,12,19,10,,,2,3,,4,-3,,-1,,,3,0,,-2,-1,-2,,-8,,2,2,,,4,-4,-8,-3,1,1,,-5,7,0,-3,4,4,,-11,8,49,5,-13,14,20,-2,-5,1,3,-8,0,2,3,,6,6,1,18,-17,-4,,,-2,,,,,-5,-5,,5,,-10,3,2,,,3,,4,,-3,,2,7,,0,,1,-3,,,,,7,,13,10,-14,15,9,,12,6,-5,9,,5,8,3,3,10,13,-12,,6,19,3,7,,,2,7,-2,12,1,12,14,,5,15,19,8,1,24,6,8,9,,10,6,2,6,4,,,26,,23,-14,-10,,7,-17,10,11,-13,11,9,11,3,15,5,-3,6,9,11,1,7,3,-1,4,10,8,5,7,6,26,11,-1,13,49,14,5,9,1,12,6,5,6,,-9,,,3,,,1,2,-17,,,,6,1,,,9,05/08/2021 06:15:19 +1000
2020-02-23,3,11,3,,-11,7,8,3,15,,18,,-7,-2,,12,1,7,8,-6,2,0,1,7,1,2,11,0,-8,-5,,,-1,,9,6,8,5,6,0,,8,0,9,,,8,11,14,,-8,,-3,4,-15,10,,,1,7,-3,2,,,7,-7,-4,4,1,,-3,,3,-1,-9,,5,9,12,,-2,8,-3,17,,-1,2,0,,,7,11,5,,,3,1,,3,-3,,-3,,,-4,1,-29,-4,-1,0,,-17,,3,0,,,2,-5,-7,-5,11,2,,,15,-3,-11,3,-3,,-18,2,13,11,,,23,-4,12,-2,3,-3,0,0,6,,5,4,-2,13,-19,-4,,,-3,,,,,,-4,,2,,-7,-5,0,,,,,8,,-5,,1,4,,5,,-5,6,,,,,4,,0,7,-17,14,17,,14,2,-15,8,,3,7,0,-3,4,0,-10,,4,17,0,5,,,0,3,1,8,2,20,,,2,6,2,4,-4,16,6,1,4,,4,1,4,6,,,,16,,23,2,-6,,-2,12,,12,-14,10,5,8,8,6,8,-18,9,6,10,1,-11,4,7,1,6,5,2,10,4,14,4,-4,7,,6,2,7,2,9,7,4,4,,,,,,,,1,7,,,,,4,,,,129,05/08/2021 06:15:19 +1000
