,AUS,Australian Capital Territory,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,last_updated
date,AUS,ACT,NSW,Armidale Dumaresq Council,Ballina Shire Council,Bankstown City Council,Bathurst Regional Council,Bayside Council,Bega Valley Shire Council,Bellingen Shire Council,Blue Mountains City Council,Broken Hill City Council,Burwood Council,Byron Shire Council,Cabonne Shire Council,Camden Council,Campbelltown City Council,Canterbury City Council,Cessnock City Council,City of Albury,City of Blacktown,City of Canada Bay Council,City of Lake Macquarie,City of Liverpool,City of Parramatta Council,City of Ryde,City of Shoalhaven,City of Willoughby,Clarence Valley Council,Coffs Harbour City Council,Cooma-Monaro Council,Corowa Shire Council,Council of the City of Sydney,Cowra Shire Council,Cumberland Council,Dubbo City Council,Eurobodalla Shire Council,Fairfield City Council,Goulburn Mulwaree Council,Griffith City Council,Gunnedah Shire Council,Hawkesbury City Council,Hurstville City Council,Inner West Council,Inverell Shire Council,Kempsey Shire Council,Kogarah City Council,Ku-ring-gai Council,Lane Cove Municipal Council,Leeton Shire Council,Lismore City Council,Lithgow City Council,Maitland City Council,Mid-Western Regional Council,MidCoast Council,Mosman Municipal Council,Muswellbrook Shire Council,Nambucca Shire Council,Newcastle City Council,North Sydney Council,Northern Beaches Council,Orange City Council,Palerang Council,Parkes Shire Council,Penrith City Council,Port Macquarie-Hastings Council,Port Stephens Council,Queanbeyan City Council,Randwick City Council,Richmond Valley Council,Shellharbour City Council,Singleton Shire Council,Strathfield Municipal Council,Sutherland Shire,Tamworth Regional Council,The Council of the Municipality of Hunters Hill,The Council of the Municipality of Kiama,The Council of the Shire of Hornsby,The Hills Shire,Tumut Council,Tweed Shire Council,Wagga Wagga City Council,Waverley Council,Wingecarribee Shire Council,Wollondilly Shire Council,Wollongong City Council,Woollahra Municipal Council,Wyong Shire Council,Yass Valley Council,Young Shire Council,NT,Alice Springs Municipality,Darwin Municipality,Katherine Municipality,Litchfield Municipality,Palmerston Municipality,QLD,Banana Shire,Brisbane City,Bundaberg Regional,Burdekin Shire,Cairns Regional,Cassowary Coast Regional,Central Highlands Regional,City of Gold Coast,City of Ipswich,Douglas Shire,Fraser Coast Regional,Gladstone Regional,Gympie Regional,Isaac Regional,Livingstone Shire,Lockyer Valley Regional,Logan City,Mackay Regional,Maranoa Regional,Mareeba Shire,Moreton Bay Region,Mount Isa City,Noosa Shire,Redland City,Rockhampton Regional,Scenic Rim Regional,Somerset Regional,South Burnett Regional,Southern Downs Regional,Sunshine Coast Regional,Tablelands Regional,Toowoomba Regional,Townsville City,Western Downs Regional,Whitsunday Regional,SA,Adelaide City Council,Adelaide Hills Council,Alexandrina Council,Campbelltown City Council,City of Burnside,City of Charles Sturt,City of Holdfast Bay,City of Marion,City of Mitcham,City of Mount Gambier,City of Onkaparinga,City of Playford,City of Port Adelaide Enfield,City of Port Lincoln,City of Prospect,City of Salisbury,City of Tea Tree Gully,City of Unley,City of Victor Harbor,City of West Torrens,District Council of Loxton Waikerie,District Council of Mallala,District Council of Mount Barker,District Council of the Copper Coast,Light Regional Council,Port Augusta City Council,Port Pirie Regional Council,Renmark Paringa Council,The Barossa Council,The Berri Barmera Council,The City of Norwood Payneham and St Peters,The Corporation of the City of Whyalla,The Rural City of Murray Bridge,Town of Gawler,TAS,Break O'Day Council,Brighton Council,Burnie City Council,Central Coast Council,Clarence City Council,Derwent Valley Council,Devonport City Council,Glamorgan-Spring Bay Council,Glenorchy City Council,Hobart City Council,Huon Valley Council,Kingborough Council,Latrobe Council,Launceston City Council,Meander Valley Council,Northern Midlands Council,Sorell Council,Waratah-Wynyard Council,West Tamar Council,VIC,Alpine Shire,Ballarat City,Banyule City,Bass Coast Shire,Baw Baw Shire,Bayside City,Benalla Rural City,Boroondara City,Brimbank City,Campaspe Shire,Cardinia Shire,Central Goldfields Shire,City of Casey,City of Hume,City of Knox,City of Maribyrnong,City of Wyndham,City of Yarra,Colac Otway Shire,Corangamite Shire,Darebin City,East Gippsland Shire,Frankston City,Glen Eira City,Glenelg Shire,Golden Plains Shire,Greater Bendigo City,Greater Dandenong City,Greater Geelong City,Greater Shepparton City,Hepburn Shire,Hobsons Bay City,Horsham Rural City,Indigo Shire,Kingston City,Latrobe City,Macedon Ranges Shire,Manningham City,Maroondah City,Melbourne City,Melton City,Mildura Rural City,Mitchell Shire,Moira Shire,Monash City,Moonee Valley City,Moorabool Shire,Moreland City,Mount Alexander Shire,Moyne Shire,Murrindindi Shire,Nillumbik Shire,Northern Grampians Shire,Port Phillip City,Shire of Mornington Peninsula,South Gippsland Shire,Southern Grampians Shire,Stonnington City,Surf Coast Shire,Swan Hill Rural City,Wangaratta Rural City,Warrnambool City,Wellington Shire,Whitehorse City,Whittlesea City,Wodonga City,Yarra Ranges Shire,WA,City of Albany,City of Armadale,City of Bayswater,City of Belmont,City of Bunbury,City of Busselton,City of Canning,City of Cockburn,City of Fremantle,City of Gosnells,City of Greater Geraldton,City of Joondalup,City of Kalamunda,City of Kalgoorlie-Boulder,City of Karratha,City of Kwinana,City of Mandurah,City of Melville,City of Nedlands,City of Perth,City of Rockingham,City of South Perth,City of Stirling,City of Subiaco,City of Swan,City of Vincent,City of Wanneroo,Shire of Ashburton,Shire of Augusta-Margaret River,Shire of Broome,Shire of Capel,Shire of Dardanup,Shire of East Pilbara,Shire of Esperance,Shire of Harvey,Shire of Mundaring,Shire of Murray,Shire of Northam,Shire of Serpentine-Jarrahdale,Town of Bassendean,Town of Cambridge,Town of Claremont,Town of Cottesloe,Town of Port Hedland,Town of Victoria Park,
2020-02-15,3,4,10,,-17,11,,2,,,11,,22,,,2,11,4,-1,-3,17,20,14,6,31,19,0,11,-43,-30,,,14,,24,,,3,,,,4,10,18,,,-1,31,3,,,,3,,-28,0,,,8,5,9,,,,7,-21,-17,,11,,-13,,17,5,,,-5,8,22,,2,,-4,,,29,15,-6,,,-3,,-7,,,5,-2,,-4,-13,,-16,,,-2,-5,,-11,-15,-9,,,,2,-2,,,-1,,-24,-9,0,,,,,5,,-6,-5,,-5,4,26,,,,,4,-17,11,14,,3,5,28,,,4,10,,,-8,,,,,,,,,,,,,,,-4,,,,,-12,,,,,7,,-19,,,,-2,,,,1,,27,14,,,-12,,6,3,,8,,14,-10,17,-4,13,2,,,10,,-5,23,,,-2,5,-5,,,-2,,,4,14,,44,6,6,2,-23,30,,-1,9,,1,,,,9,,3,-36,,,2,,,,,,-8,2,,-14,12,,26,29,-1,,,37,9,-32,20,,27,3,,,16,12,20,,41,15,1,19,10,7,,0,,,,,,,,,,,,,,,,,,44,05/08/2021 06:16:17 +1000
2020-02-16,3,16,6,,-22,3,,2,,,23,,22,,,5,11,3,,,9,6,7,9,40,11,-1,2,-41,-21,,,8,,19,,,-4,,,,8,7,17,,,-9,14,16,,,,-5,,-26,-4,,,1,4,7,,,,11,-31,-8,,14,,-7,,11,4,,,-15,10,16,,5,,-10,,,34,21,-9,,,-2,,1,,,-1,-4,,-3,-2,,-13,,,-6,-7,,-5,1,,,,,-1,-10,,,-5,,-24,-13,5,,,,,3,,-8,-2,,-26,1,-11,,,,,0,-18,-5,,,-1,-12,27,,,-4,3,,,-1,,,,,,,,,,,,,,,1,,,,,-4,,-9,,,11,,-4,,,,-2,,,,0,,3,2,,,-9,,9,-2,,8,,22,-7,7,9,16,5,,,4,,-1,-2,,,8,10,11,,-16,15,,,9,9,,40,17,2,10,-13,18,,-2,3,,5,,,,,,-1,-17,,,-1,,,,,,3,3,,9,2,,-5,11,4,,,12,-5,-7,7,,-3,-10,,,1,1,-7,,14,6,,0,,-5,,-11,,,,,,,,,,,,,,,,,,0,05/08/2021 06:16:17 +1000
2020-02-17,7,21,6,,-1,14,,-2,,,11,,17,,,18,17,8,,-1,12,10,1,18,16,15,4,13,-41,-25,,,6,,12,,,8,,,,9,11,12,,,3,25,17,,,,-1,,-25,-5,,,1,11,-1,,,,15,-22,-4,,26,,-5,,17,8,,,-27,19,18,,7,2,-14,,,5,13,-2,,,8,,4,,,2,4,,4,-8,,-7,,,0,7,,-6,0,,,,,16,5,,,11,,-16,6,3,,,,,3,,-1,6,,4,10,-1,,,39,,25,11,18,17,,20,8,24,,,13,15,29,,5,,,,,,,,,,,,,,,12,,,,,8,,-35,,,25,,5,,,,-5,,,,11,,18,21,,,-9,,9,18,,73,,74,-1,11,16,16,36,,,20,,31,-13,,,13,26,12,,,13,,,62,20,29,43,17,10,18,-1,21,,10,12,,17,,,,37,,14,-8,,,9,,,,,,11,15,,14,8,,12,21,-4,,,24,10,2,14,-10,29,9,,-1,20,15,34,,15,11,1,23,15,4,21,3,,,,,,13,,,,,,,23,20,,,16,23,05/08/2021 06:16:17 +1000
2020-02-18,7,12,7,,-9,13,,1,,,5,,10,,,15,16,8,4,3,13,9,3,12,15,14,-1,16,-10,0,,,5,,14,,,5,,,,5,9,12,,,14,26,15,,,,0,,2,-13,,,1,11,1,,,,16,-12,-2,,21,,0,,12,4,,,-17,20,20,,7,18,-9,,,5,29,10,,,4,-11,-1,,,1,5,,4,3,,-7,,,5,7,,-4,-5,,,,,13,2,,,5,,-17,5,3,,,,,4,,0,0,,-6,7,3,,,7,,19,0,11,10,,6,5,10,,,15,11,27,,4,,,,,,,,,,,,,,,4,,,,,-3,,,,15,20,,12,,,,-10,,,,5,,-19,8,,,-24,,7,12,,49,,47,-1,0,7,8,19,,,11,,15,-12,,,7,17,7,,,4,,,32,4,1,21,6,4,-9,-11,6,,7,6,-19,8,,,,10,,6,-21,,,9,,,,,,12,12,,4,8,,11,21,-3,,,24,7,47,19,-11,16,13,,-7,7,6,24,,13,14,-1,16,25,4,15,7,,,,,,0,,,,,,,28,24,,,-7,19,05/08/2021 06:16:17 +1000
2020-02-19,8,17,8,,3,14,,3,,,8,,16,,,10,16,12,4,-11,16,11,3,14,16,17,2,13,-8,-24,,,7,,9,,,7,,,,12,21,11,,,30,27,16,,,,1,,-8,-3,,,6,15,3,,,,14,-14,-2,,20,,1,,20,8,,,-17,23,18,,-4,22,-5,,,11,32,10,,,0,,-5,,,5,4,,5,10,,-10,,,2,10,,6,0,,,,,11,6,,,5,,-31,2,0,,,,,6,,0,7,,-7,6,1,,,24,,20,-3,14,8,,12,9,0,,,9,7,6,,-1,,,,,,,,,,,,,,,0,,,,,-11,,,,22,16,,-4,,4,,-14,,,,6,,-1,11,,,-15,,11,13,,52,,54,0,6,8,8,29,,,12,,22,-13,,,14,11,7,,,8,,,33,11,11,13,37,5,8,-11,3,,10,10,3,7,,,,26,,0,-29,,,9,,,,,,8,12,,1,7,,11,21,-1,,,25,2,35,11,-9,10,13,-2,-10,9,11,20,,7,13,-2,13,4,6,5,2,,,,,,5,,,,,,,30,17,,,0,14,05/08/2021 06:16:17 +1000
2020-02-20,9,20,9,,7,18,,3,,,12,,11,,,17,18,11,10,-1,15,6,9,14,16,17,1,7,3,-1,,,8,,10,,,10,,,,13,11,11,,,11,32,12,,,,-5,,-1,8,,,4,14,5,,,,17,-5,1,,25,,6,,13,10,1,,,16,26,,9,13,-15,-1,,10,24,13,,,4,,5,,,1,6,,7,6,,-6,,,5,17,,0,2,,,,,20,3,,,12,,-24,6,1,,,,,6,,6,9,,3,10,8,,,19,,15,0,18,15,,11,14,19,,,20,17,22,,10,,,,,,,,,,,,,,,8,,,,,-1,,,,,31,,6,,,,4,,,,9,,6,21,,,-17,,20,18,,55,,62,7,8,13,9,26,,,16,,28,-12,,,15,20,10,,,8,,,38,22,27,27,16,8,0,-6,21,,8,5,,14,,,,21,,-1,-16,,,7,,,,,,11,11,,9,8,,10,19,-2,-5,,23,11,7,18,-4,17,-4,2,8,9,12,21,,14,5,-2,12,11,3,23,2,,,,,,-5,,,,,,,22,4,,,1,18,05/08/2021 06:16:17 +1000
2020-02-21,12,24,10,,-17,17,,4,,,19,,13,,,14,24,17,,20,17,11,13,12,23,22,4,15,-8,-13,,,8,,17,,,10,,,,20,14,10,,,15,37,17,,,,-1,,-12,-4,,,10,26,0,,,,22,-33,7,,22,,-1,,13,10,5,,-8,23,25,,-15,16,-9,9,,11,22,9,,,6,,7,,,4,5,,5,5,,-12,,,1,13,,-3,-4,,,,,18,0,,,8,,-19,5,0,,,,,8,,1,9,,0,19,19,,,27,,20,0,27,20,,16,13,28,,,28,31,31,,10,,,,,,,,,,,,,,,6,,,,,0,,-12,,,37,,-12,,,,-10,,,,13,,14,22,,,-16,,26,22,,50,,59,7,17,11,14,14,,,16,,26,5,,,21,28,15,,,14,,,44,21,29,48,20,12,19,-12,-3,,15,13,,15,,,,54,,15,-4,,,8,,,,,,21,21,,21,8,,4,21,-3,9,,27,8,5,18,-6,18,6,,,1,3,18,,13,13,,11,22,8,-7,8,,,,,,19,,,,,,,31,20,,,,14,05/08/2021 06:16:17 +1000
2020-02-22,8,44,8,,-26,2,,-9,,,16,,23,,,-16,15,7,-6,-1,15,23,12,11,13,22,19,13,-5,-37,,,13,,20,,,4,,,,18,13,44,,,13,18,15,,,,8,,-26,-9,,,18,21,-1,,,,9,-38,-12,,1,,-8,,21,6,,,12,3,24,,-13,,-13,,,3,10,-7,,,-2,,-5,,,3,3,,-1,-7,,-21,,,18,5,,-10,-13,-21,,,,10,-6,,,9,,-24,-7,-5,,,,,1,,6,-11,,-8,15,69,,,,,24,8,22,40,,9,3,27,,,28,36,,,-6,,,,,,,,,,,,,,,3,,,,,-11,,,,,11,,-5,,,,5,,,,18,,50,41,,,15,,57,15,,20,,26,-4,27,4,25,7,,,22,,29,36,,,3,38,0,,,11,,,29,15,,66,5,25,13,-10,-18,,9,20,,22,,,,,,41,-15,,,17,,,,,,6,24,,23,6,,3,8,-4,,,29,32,2,9,,12,8,,,1,10,15,,16,9,6,8,-2,-2,3,-6,,,,,,,,,,,,,,,,,,9,05/08/2021 06:16:17 +1000
2020-02-23,4,25,1,,-23,-2,,-5,,,27,,7,,,-4,9,4,,-6,5,3,11,9,6,15,,-2,,-26,,,2,,3,,,-1,,,,20,6,36,,,6,4,-5,,,,3,,-30,-4,,,8,4,0,,,,5,-41,-13,,3,,-9,,7,4,,,-2,9,15,,-9,,-10,,,11,15,-14,,,7,,9,,,3,-5,,-3,-8,,-15,,,-3,-6,,-20,-16,,,,,0,-9,,,-1,,-27,-8,-1,,,,,10,,-3,-11,,-34,9,16,,,,,1,-11,-5,,,13,-3,11,,,21,10,,,4,,,,,,,,,,,,,,,2,,,,,0,,-36,,,16,,-8,,,,2,,,,8,,24,15,,,29,,39,5,,-4,,11,-2,13,-4,20,-3,,,6,,31,-5,,,6,24,7,,,25,,,56,19,,41,12,15,9,-23,-7,,-1,6,,10,,,,,,14,15,,,4,,,,,,7,11,,17,11,,21,16,-3,,,27,3,7,17,,20,-9,,,10,14,11,,32,13,,13,,-3,,-5,,,,,,,,,,,,,,,,,,55,05/08/2021 06:16:17 +1000
