,AUS,Australian Capital Territory,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,last_updated
date,AUS,ACT,NSW,Armidale Dumaresq Council,Ballina Shire Council,Bankstown City Council,Bathurst Regional Council,Bayside Council,Bega Valley Shire Council,Bellingen Shire Council,Blue Mountains City Council,Broken Hill City Council,Burwood Council,Byron Shire Council,Cabonne Shire Council,Camden Council,Campbelltown City Council,Canterbury City Council,Cessnock City Council,City of Albury,City of Blacktown,City of Canada Bay Council,City of Lake Macquarie,City of Liverpool,City of Parramatta Council,City of Ryde,City of Shoalhaven,City of Willoughby,Clarence Valley Council,Coffs Harbour City Council,Cooma-Monaro Council,Corowa Shire Council,Council of the City of Sydney,Cowra Shire Council,Cumberland Council,Dubbo City Council,Eurobodalla Shire Council,Fairfield City Council,Goulburn Mulwaree Council,Griffith City Council,Gunnedah Shire Council,Hawkesbury City Council,Hurstville City Council,Inner West Council,Inverell Shire Council,Kempsey Shire Council,Kogarah City Council,Ku-ring-gai Council,Lane Cove Municipal Council,Leeton Shire Council,Lismore City Council,Lithgow City Council,Maitland City Council,Mid-Western Regional Council,MidCoast Council,Mosman Municipal Council,Muswellbrook Shire Council,Nambucca Shire Council,Newcastle City Council,North Sydney Council,Northern Beaches Council,Orange City Council,Palerang Council,Parkes Shire Council,Penrith City Council,Port Macquarie-Hastings Council,Port Stephens Council,Queanbeyan City Council,Randwick City Council,Richmond Valley Council,Shellharbour City Council,Singleton Shire Council,Strathfield Municipal Council,Sutherland Shire,Tamworth Regional Council,The Council of the Municipality of Hunters Hill,The Council of the Municipality of Kiama,The Council of the Shire of Hornsby,The Hills Shire,Tumut Council,Tweed Shire Council,Wagga Wagga City Council,Waverley Council,Wingecarribee Shire Council,Wollondilly Shire Council,Wollongong City Council,Woollahra Municipal Council,Wyong Shire Council,Yass Valley Council,Young Shire Council,NT,Alice Springs Municipality,Darwin Municipality,Katherine Municipality,Litchfield Municipality,Palmerston Municipality,QLD,Banana Shire,Brisbane City,Bundaberg Regional,Burdekin Shire,Cairns Regional,Cassowary Coast Regional,Central Highlands Regional,City of Gold Coast,City of Ipswich,Douglas Shire,Fraser Coast Regional,Gladstone Regional,Gympie Regional,Isaac Regional,Livingstone Shire,Lockyer Valley Regional,Logan City,Mackay Regional,Maranoa Regional,Mareeba Shire,Moreton Bay Region,Mount Isa City,Noosa Shire,Redland City,Rockhampton Regional,Scenic Rim Regional,Somerset Regional,South Burnett Regional,Southern Downs Regional,Sunshine Coast Regional,Tablelands Regional,Toowoomba Regional,Townsville City,Western Downs Regional,Whitsunday Regional,SA,Adelaide City Council,Adelaide Hills Council,Alexandrina Council,Campbelltown City Council,City of Burnside,City of Charles Sturt,City of Holdfast Bay,City of Marion,City of Mitcham,City of Mount Gambier,City of Onkaparinga,City of Playford,City of Port Adelaide Enfield,City of Port Lincoln,City of Prospect,City of Salisbury,City of Tea Tree Gully,City of Unley,City of Victor Harbor,City of West Torrens,District Council of Loxton Waikerie,District Council of Mallala,District Council of Mount Barker,District Council of the Copper Coast,Light Regional Council,Port Augusta City Council,Port Pirie Regional Council,Renmark Paringa Council,The Barossa Council,The Berri Barmera Council,The City of Norwood Payneham and St Peters,The Corporation of the City of Whyalla,The Rural City of Murray Bridge,Town of Gawler,TAS,Break O'Day Council,Brighton Council,Burnie City Council,Central Coast Council,Clarence City Council,Derwent Valley Council,Devonport City Council,Glamorgan-Spring Bay Council,Glenorchy City Council,Hobart City Council,Huon Valley Council,Kingborough Council,Latrobe Council,Launceston City Council,Meander Valley Council,Northern Midlands Council,Sorell Council,Waratah-Wynyard Council,West Tamar Council,VIC,Alpine Shire,Ballarat City,Banyule City,Bass Coast Shire,Baw Baw Shire,Bayside City,Benalla Rural City,Boroondara City,Brimbank City,Campaspe Shire,Cardinia Shire,Central Goldfields Shire,City of Casey,City of Hume,City of Knox,City of Maribyrnong,City of Wyndham,City of Yarra,Colac Otway Shire,Corangamite Shire,Darebin City,East Gippsland Shire,Frankston City,Glen Eira City,Glenelg Shire,Golden Plains Shire,Greater Bendigo City,Greater Dandenong City,Greater Geelong City,Greater Shepparton City,Hepburn Shire,Hobsons Bay City,Horsham Rural City,Indigo Shire,Kingston City,Latrobe City,Macedon Ranges Shire,Manningham City,Maroondah City,Melbourne City,Melton City,Mildura Rural City,Mitchell Shire,Moira Shire,Monash City,Moonee Valley City,Moorabool Shire,Moreland City,Mount Alexander Shire,Moyne Shire,Murrindindi Shire,Nillumbik Shire,Northern Grampians Shire,Port Phillip City,Shire of Mornington Peninsula,South Gippsland Shire,Southern Grampians Shire,Stonnington City,Surf Coast Shire,Swan Hill Rural City,Wangaratta Rural City,Warrnambool City,Wellington Shire,Whitehorse City,Whittlesea City,Wodonga City,Yarra Ranges Shire,WA,City of Albany,City of Armadale,City of Bayswater,City of Belmont,City of Bunbury,City of Busselton,City of Canning,City of Cockburn,City of Fremantle,City of Gosnells,City of Greater Geraldton,City of Joondalup,City of Kalamunda,City of Kalgoorlie-Boulder,City of Karratha,City of Kwinana,City of Mandurah,City of Melville,City of Nedlands,City of Perth,City of Rockingham,City of South Perth,City of Stirling,City of Subiaco,City of Swan,City of Vincent,City of Wanneroo,Shire of Ashburton,Shire of Augusta-Margaret River,Shire of Broome,Shire of Capel,Shire of Dardanup,Shire of East Pilbara,Shire of Esperance,Shire of Harvey,Shire of Mundaring,Shire of Murray,Shire of Northam,Shire of Serpentine-Jarrahdale,Town of Bassendean,Town of Cambridge,Town of Claremont,Town of Cottesloe,Town of Port Hedland,Town of Victoria Park,
2020-02-15,3,6,3,,5,5,2,1,,,2,,2,1,,7,3,3,6,2,3,2,2,6,4,2,-1,3,-3,5,,,2,,3,0,1,5,,,,5,-2,3,,,0,9,,,6,,-2,,-7,,,,1,8,5,1,,,6,2,3,2,7,,1,,0,5,3,,,5,7,,-5,3,6,4,5,3,,0,,,2,,-1,,,8,1,,3,2,,1,,,0,4,,-2,-1,-4,,4,-4,0,-1,,,2,,1,0,2,,,,,0,,2,2,,0,2,,,,6,,2,,1,6,,1,1,5,,,4,4,,,1,,,-1,,,,,,,,4,,,,0,,,,,2,,,,6,-2,,,,-3,,,,,,3,,8,2,-8,5,7,,7,7,,4,,1,4,1,0,5,3,,,6,-9,2,8,,,0,3,0,5,,6,,,3,1,,5,3,0,2,6,11,,5,6,,2,,,,9,,4,1,,,-4,,,,,7,2,3,3,3,2,8,3,3,1,,-4,1,2,,2,1,2,6,4,-1,1,2,0,,,1,10,0,,2,7,0,,,,,,,,,,,,,,,,,,-1,05/08/2021 06:16:34 +1000
2020-02-16,-1,2,-1,,,1,,2,,,1,,-5,-7,,1,-3,1,2,-3,0,4,-2,1,-2,-2,-7,-2,-2,-2,,,0,,-3,,,-3,,,,0,-4,2,,,-5,5,,,,,-9,,-6,,,,-3,,1,-5,,,1,-6,-7,,1,,-3,,-2,3,-4,,,-1,2,,-5,2,-1,,,1,,-6,,,2,,2,,,,-1,,-2,-3,,-2,,,-4,0,,0,3,-6,,,,2,0,,,2,,-3,-1,6,,,,,-3,,3,2,,-6,-2,,,,-1,,-7,,1,1,,-3,-2,-1,,,0,1,,,0,,,,,,,,,,,,,,,1,,,,,2,,,,0,4,,,,-3,,,,,,-2,,2,4,-7,,8,,-2,0,,-1,,-1,0,-2,1,0,1,,,1,-16,-4,2,,,3,-4,-3,3,,-2,,,-1,-4,,1,1,-2,0,6,,,-3,2,,0,,,,,,-1,-6,,,-5,,,,,,-3,2,,2,0,,-3,-1,-2,,-5,0,3,,2,,2,4,,,-1,-2,3,,,-5,,0,,2,,2,,,,,,,,,,,,,,,,,,-3,05/08/2021 06:16:34 +1000
2020-02-17,17,25,17,23,25,20,18,12,26,,19,,9,12,,21,17,14,18,15,18,13,18,19,12,15,19,12,23,19,,,9,,12,14,22,19,15,21,,17,15,15,,14,12,28,16,,28,,14,,13,19,,,19,13,20,16,,,16,18,21,19,18,,17,20,9,20,15,,,23,22,,16,23,14,24,24,19,18,15,,,21,18,21,,27,18,16,,14,23,,18,25,20,13,19,,19,19,16,9,15,19,15,18,,,18,17,21,15,19,26,12,20,26,15,31,19,21,20,12,17,10,31,21,17,27,14,15,15,17,24,15,15,14,,14,18,20,21,,12,,,23,,,,,,24,,13,18,21,19,19,,18,17,17,23,,17,,14,17,,27,,20,,,12,,27,18,,23,20,14,19,22,,19,17,15,20,,18,23,16,14,16,8,11,,17,15,18,20,,17,21,13,18,21,,17,,,21,19,26,22,20,7,20,17,23,16,16,19,21,18,,,,31,,10,20,20,,11,27,10,22,17,15,19,20,18,22,17,22,15,14,11,21,18,19,17,18,19,24,21,18,15,14,14,22,18,,8,16,15,14,15,18,16,17,,,,,,,,25,23,,,19,22,14,,,11,7,05/08/2021 06:16:34 +1000
2020-02-18,14,24,14,19,19,15,8,11,16,,15,,8,11,,17,13,12,12,15,15,9,17,15,11,13,10,14,17,14,,,7,,11,15,15,13,13,14,,15,13,10,,16,5,23,13,,23,,16,28,15,19,,,14,9,16,15,,,13,16,18,16,11,,16,17,8,19,12,,,19,20,,13,17,10,14,19,16,15,15,,,15,21,14,,17,14,12,,10,14,,14,21,6,12,12,,14,18,12,9,12,15,11,11,,15,13,4,14,12,14,18,13,16,22,11,15,13,13,19,9,13,3,18,20,12,21,12,7,13,16,19,11,13,11,,15,12,14,13,,11,,,14,,15,,12,,20,,7,15,18,16,15,,9,10,14,17,,8,,12,11,14,20,,16,17,,16,,19,13,,18,16,8,19,15,,15,11,18,14,,13,16,14,10,10,6,9,,12,4,13,15,11,11,14,10,14,15,,11,8,,16,18,14,19,16,6,16,15,17,11,14,16,9,13,,,,24,,6,17,17,,9,17,11,16,9,12,15,15,16,18,16,22,17,13,8,14,14,19,17,21,18,24,17,17,14,16,13,17,15,,7,16,11,14,11,15,14,16,,,,21,,,,27,22,,,14,18,18,,,12,7,05/08/2021 06:16:34 +1000
2020-02-19,13,22,14,12,21,16,8,8,14,,17,,8,4,,13,14,12,15,15,15,9,16,15,10,13,13,13,20,14,,,4,,11,14,9,15,12,18,,9,14,11,,18,8,20,9,,17,15,15,19,11,20,,,15,7,15,18,18,,13,15,16,16,15,24,15,11,7,17,13,,11,17,19,,12,19,7,16,16,15,13,14,,,16,17,15,,17,14,10,,9,14,,11,13,10,8,11,,10,12,13,11,12,8,9,13,,17,12,2,11,9,13,20,16,16,18,8,23,11,13,14,8,13,5,22,12,12,17,12,6,13,16,14,11,14,10,,14,11,15,12,,9,,,16,,18,,13,,20,,10,16,11,11,15,,12,4,15,19,,16,,12,14,13,22,,13,18,,13,,20,13,,20,15,4,14,17,,13,13,13,13,,13,15,12,10,10,4,5,,12,8,14,15,5,13,19,10,13,14,,13,3,,16,16,19,16,14,4,16,18,16,13,13,13,15,13,,,,20,,7,15,20,,8,21,6,7,12,15,15,13,13,13,15,21,14,10,7,16,14,17,14,15,16,18,16,18,16,17,13,15,17,,9,15,17,13,15,14,8,15,,,,24,,,,22,19,14,,15,12,14,,,8,8,05/08/2021 06:16:34 +1000
2020-02-20,13,21,15,13,20,17,16,10,14,,20,,10,4,,15,16,14,15,15,15,12,17,17,12,15,16,14,18,15,,,5,,10,15,22,15,15,17,,15,14,12,,13,12,24,11,,17,16,15,25,16,18,,,13,10,17,16,18,,12,14,18,17,14,21,15,19,7,17,8,,,20,22,,10,17,10,19,16,18,13,16,,,14,14,12,,17,14,10,,10,11,,8,14,9,8,9,,10,12,9,8,13,8,9,11,,5,11,6,14,9,13,13,13,9,19,8,11,13,12,16,6,11,2,17,8,11,18,10,9,14,14,10,9,12,9,,10,11,10,17,,6,,,13,,15,,4,,15,,9,4,11,12,18,,16,11,18,21,,14,,12,16,13,20,,22,21,,12,,27,14,,19,15,11,16,16,,15,12,16,15,,15,16,16,12,12,5,9,,12,13,15,15,14,16,17,11,15,12,,16,12,,16,15,20,18,16,5,14,15,17,9,16,17,22,12,,,,21,,8,17,23,,8,18,12,16,10,13,15,14,17,17,15,20,15,13,10,11,13,19,16,15,14,16,16,16,14,19,9,16,17,,6,13,13,13,9,13,10,15,,,,24,,,,27,15,,,11,11,9,,,9,7,05/08/2021 06:16:34 +1000
2020-02-21,16,25,17,13,19,20,15,14,16,,20,,8,9,,17,17,16,16,18,17,14,21,18,13,16,12,15,21,15,,,9,,12,17,22,17,17,15,,16,14,16,,19,15,31,16,,25,,18,25,15,28,,,18,14,22,23,,,15,15,16,24,16,,16,18,8,24,10,,,24,21,,14,19,14,21,17,19,20,16,,,20,25,21,,26,15,15,,14,18,,15,20,15,12,17,,16,17,21,10,17,18,13,15,,13,15,12,19,15,15,20,19,21,24,14,16,16,19,20,12,15,5,24,14,17,22,14,9,15,19,14,12,14,13,,19,15,18,17,,11,,,20,,19,,10,,20,,15,20,19,15,16,,17,12,,21,,18,,11,16,,22,,18,17,,,,18,15,,20,19,8,19,20,,18,14,16,17,,15,17,18,13,13,7,9,,13,14,17,16,,21,16,10,16,14,,18,,,18,19,19,23,18,7,18,21,20,10,18,17,21,13,,,,26,,10,18,22,,11,17,13,16,8,19,18,16,16,20,16,18,18,14,12,13,9,19,16,20,17,20,19,16,17,21,14,17,19,,7,16,16,13,17,16,11,18,,,,23,,,,29,17,,,12,15,26,,,15,7,05/08/2021 06:16:34 +1000
2020-02-22,3,10,3,,2,3,9,4,,,4,,0,4,,7,6,2,4,3,3,7,1,5,7,4,-3,9,-1,5,,,2,,1,6,1,5,,,,3,3,7,,,2,3,,,4,,2,,-5,,,,0,9,4,7,,,5,0,1,7,5,,0,,1,13,1,,,6,7,,1,8,1,3,-1,3,,0,,,3,,2,,,1,1,,4,4,,-2,,,0,-1,,-1,-1,2,,5,2,2,1,,,4,,-1,-1,1,,,,,1,,1,1,,-1,2,,,,6,,3,,2,6,,0,1,1,,,5,4,,,1,,,3,,,,,,,,-1,,,,0,,,,,4,,,,5,-5,,,,-6,,,,,,4,,9,6,-3,-3,11,,9,8,,1,,2,7,1,4,7,-2,,,6,-9,1,5,,,3,2,1,2,,2,,,2,2,,6,2,4,4,6,8,,8,7,,2,,,,15,,2,3,,,5,,,,,-2,2,7,-1,8,3,11,2,4,2,-2,-1,4,2,,1,9,3,11,7,7,2,-3,-2,,,5,3,1,,5,8,3,,,,,,,,,,,,,,,,,,-3,05/08/2021 06:16:34 +1000
2020-02-23,-2,3,-1,,,-4,,1,,,-3,,-6,-7,,1,0,-2,-2,-8,1,2,1,1,-2,-1,-2,8,-6,-2,,,-2,,-3,,,-2,,,,2,-5,2,,,-2,3,,,,,0,,-2,,,,-3,,0,0,,,-3,-4,-4,,3,,4,,1,10,-14,,,-1,2,,-5,1,-1,,,0,,-3,,,3,,4,,,,-2,,-2,-4,,-3,,,-4,-1,,-5,-2,-2,,,,-1,-1,,,2,,-1,0,2,,,,,-3,,1,3,,-4,-2,,,,0,,-7,,-5,-6,,-3,-4,2,,,-1,0,,,-6,,,,,,,,,,,,,,,-1,,,,,-5,,,,0,-1,,,,-4,,,,,,-3,,1,0,-7,,0,,-5,-3,,-7,,-4,0,-1,1,-1,-3,,,-1,-13,0,1,,,0,-3,-4,3,,-1,,,-3,-5,,-4,-3,-2,-5,5,,,-1,-1,,-1,,,,,,-4,-3,,,-7,,,,,,-5,0,,-6,1,,0,-2,-2,,,1,1,,3,,-3,-1,,,-4,2,6,,,-3,,0,,2,,0,,,,,,,,,,,,,,,,,,3,05/08/2021 06:16:34 +1000
